9536 0.60000002 0.19500039 0.00000000
9689 0.60000002 0.20000000 0.00000000
9842 0.60000002 0.20499961 0.00000000
13055 0.60000002 0.19500039 0.01000000
13208 0.60000002 0.20000000 0.01000000
13361 0.60000002 0.20499961 0.01000000
22402 0.60000002 0.19500039 0.00500000
22404 0.60000002 0.20000000 0.00500000
22406 0.60000002 0.20499961 0.00500000
22744 0.60000002 0.19253957 0.00000000
22747 0.60000002 0.19750000 0.00000000
22750 0.60000002 0.20250000 0.00000000
22753 0.60000002 0.20746043 0.00000000
22868 0.60000002 0.19253985 0.01000000
22871 0.60000002 0.19750000 0.01000000
22874 0.60000002 0.20250000 0.01000000
22877 0.60000002 0.20746015 0.01000000
23102 0.60000002 0.19253974 0.00500000
23105 0.60000002 0.19750000 0.00500000
23108 0.60000002 0.20250000 0.00500000
23138 0.60000002 0.20746026 0.00500000
24034 0.60000002 0.19500039 0.00250000
24035 0.60000002 0.19375585 0.00000000
24037 0.60000002 0.19625000 0.00000000
24038 0.60000002 0.20000000 0.00250000
24039 0.60000002 0.19875000 0.00000000
24041 0.60000002 0.20125000 0.00000000
24042 0.60000002 0.20499961 0.00250000
24043 0.60000002 0.20375000 0.00000000
24045 0.60000002 0.20624415 0.00000000
24331 0.60000002 0.19500039 0.00750000
24332 0.60000002 0.19375589 0.01000000
24334 0.60000002 0.19625000 0.01000000
24335 0.60000002 0.20000000 0.00750000
24336 0.60000002 0.19875000 0.01000000
24338 0.60000002 0.20125000 0.01000000
24339 0.60000002 0.20499961 0.00750000
24340 0.60000002 0.20375000 0.01000000
24342 0.60000002 0.20624411 0.01000000
25024 0.60000002 0.19375587 0.00500000
25026 0.60000002 0.19625000 0.00500000
25027 0.60000002 0.19875000 0.00500000
25029 0.60000002 0.20125000 0.00500000
25030 0.60000002 0.20375000 0.00500000
25032 0.60000002 0.20624413 0.00500000
25407 0.60000002 0.19253964 0.00250000
25412 0.60000002 0.19750000 0.00250000
25417 0.60000002 0.20250000 0.00250000
25422 0.60000002 0.20746036 0.00250000
25580 0.60000002 0.19253974 0.00750000
25585 0.60000002 0.19750000 0.00750000
25590 0.60000002 0.20250000 0.00750000
25595 0.60000002 0.20746026 0.00750000
25835 0.60000002 0.19625000 0.00250000
25836 0.60000002 0.19875000 0.00250000
25837 0.60000002 0.19625000 0.00750000
25838 0.60000002 0.19875000 0.00750000
25843 0.60000002 0.20125000 0.00250000
25844 0.60000002 0.20375000 0.00250000
25845 0.60000002 0.20125000 0.00750000
25846 0.60000002 0.20375000 0.00750000
25852 0.60000002 0.20624414 0.00250000
26606 0.60000002 0.19375586 0.00250000
26608 0.60000002 0.19375587 0.00750000
26628 0.60000002 0.20624413 0.00750000
