# y ux uy
1.925395699999999932e-01 -1.979299368289022499e-04 -6.914645333905981503e-03
1.937558500000000072e-01 -1.656589245632897301e-04 -6.914643673462982261e-03
1.950003899999999957e-01 -1.326381032900146703e-04 -6.914641974515198589e-03
1.962500000000000078e-01 -9.948567674817571462e-05 -6.914640509667775541e-03
1.975000000000000089e-01 -6.632566528119379504e-05 -6.898056533927493864e-03
1.987500000000000100e-01 -3.316173549696517422e-05 -6.906347284237099315e-03
2.000000000000000111e-01 2.194287263420926682e-09 -6.914638034546704767e-03
2.012500000000000122e-01 3.316405880334445991e-05 -6.914638648079140561e-03
2.025000000000000133e-01 6.632592331942550033e-05 -6.914639261611575487e-03
2.037499999999999867e-01 9.948940207548001601e-05 -6.914640669236943316e-03
2.049996099999999988e-01 1.326425338261636745e-04 -6.914642076423132069e-03
2.062441499999999872e-01 1.656621972930901365e-04 -6.914643940715762063e-03
2.074604300000000012e-01 1.979320774730205948e-04 -6.914645762817336720e-03
